iter	Passed	Remaining
171	732	3526
172	735	3517
173	738	3505
174	740	3491
175	743	3479
176	745	3465
177	747	3453
178	749	3439
179	752	3428
180	755	3417
181	757	3404
182	760	3394
183	763	3387
184	766	3376
185	769	3366
186	772	3357
187	775	3347
188	786	3374
189	788	3363
190	792	3355
191	801	3374
192	804	3363
193	807	3353
194	809	3339
195	811	3329
196	814	3318
197	816	3306
198	819	3297
199	821	3286
200	823	3275
201	826	3265
202	828	3253
203	830	3241
204	833	3232
205	835	3222
206	838	3210
207	840	3199
208	842	3190
209	845	3179
210	847	3169
211	850	3161
212	852	3150
213	854	3138
214	856	3126
215	859	3119
216	861	3108
217	863	3098
218	866	3089
219	868	3078
220	870	3069
221	872	3059
222	876	3052
223	878	3043
224	880	3033
225	883	3024
226	885	3014
227	888	3006
228	891	3000
229	893	2990
230	895	2980
231	898	2973
232	901	2966
233	903	2957
234	905	2949
235	908	2940
236	910	2931
237	913	2924
238	915	2915
239	917	2906
240	919	2897
241	922	2890
242	925	2882
243	927	2873
244	930	2867
245	932	2858
246	935	2850
247	938	2845
248	941	2839
249	943	2831
250	947	2827
251	950	2820
252	951	2810
253	955	2807
254	958	2799
255	961	2795
256	964	2788
257	967	2782
258	971	2778
259	974	2772
260	978	2769
261	980	2760
262	983	2755
263	987	2754
264	990	2747
265	993	2742
266	997	2737
267	1010	2760
268	1012	2752
269	1015	2745
270	1020	2744
271	1022	2737
272	1027	2735
273	1031	2732
274	1034	2728
275	1037	2722
276	1040	2714
277	1042	2708
278	1045	2701
279	1048	2696
280	1051	2689
281	1055	2686
282	1058	2680
283	1060	2673
284	1065	2673
285	1068	2667
286	1072	2665
287	1075	2659
288	1078	2652
289	1081	2647
290	1083	2640
291	1087	2635
292	1091	2633
293	1094	2627
294	1096	2620
295	1098	2613
296	1100	2606
297	1103	2598
298	1106	2594
299	1108	2586
300	1110	2579
301	1114	2575
302	1117	2569
303	1120	2565
304	1123	2559
305	1125	2553
306	1129	2549
307	1131	2542
308	1135	2539
309	1138	2534
310	1141	2528
311	1144	2524
312	1147	2518
313	1149	2511
314	1153	2509
315	1156	2504
316	1159	2499
317	1162	2493
318	1165	2488
319	1168	2483
320	1172	2479
321	1176	2476
322	1177	2468
323	1181	2464
324	1185	2461
325	1188	2457
326	1191	2451
327	1194	2446
328	1197	2442
329	1201	2439
330	1205	2436
331	1209	2432
332	1228	2459
333	1230	2454
334	1233	2448
335	1236	2442
336	1239	2439
337	1243	2436
338	1246	2430
339	1249	2425
340	1253	2423
341	1256	2417
342	1259	2411
343	1261	2405
344	1264	2400
345	1267	2394
346	1271	2391
347	1274	2388
348	1278	2384
349	1281	2380
350	1285	2377
351	1288	2372
352	1292	2368
353	1295	2363
354	1298	2359
355	1303	2358
356	1307	2354
357	1309	2347
358	1313	2345
359	1320	2348
360	1323	2341
361	1325	2335
362	1328	2330
363	1331	2326
364	1335	2323
365	1338	2318
366	1341	2313
367	1344	2309
368	1348	2305
369	1351	2301
370	1354	2296
371	1358	2293
372	1360	2287
373	1364	2284
374	1367	2279
375	1370	2274
376	1373	2270
377	1376	2264
378	1382	2265
379	1386	2261
380	1389	2258
381	1391	2251
382	1394	2245
383	1398	2242
384	1401	2239
385	1404	2234
386	1407	2229
387	1409	2223
388	1412	2218
389	1415	2213
390	1417	2207
391	1419	2201
392	1423	2197
393	1425	2193
394	1429	2188
395	1432	2184
396	1434	2179
397	1438	2175
398	1440	2169
399	1442	2164
400	1446	2160
401	1449	2155
402	1453	2153
403	1455	2147
404	1457	2141
405	1460	2137
406	1463	2131
407	1465	2125
408	1468	2121
409	1470	2115
410	1472	2110
411	1475	2106
412	1477	2100
413	1480	2095
414	1492	2104
415	1496	2100
416	1528	2136
417	1531	2131
418	1534	2128
419	1537	2122
420	1540	2118
421	1543	2113
422	1544	2107
423	1546	2100
424	1548	2094
425	1549	2088
426	1552	2082
427	1553	2076
428	1556	2071
429	1558	2065
430	1560	2059
431	1561	2053
432	1563	2047
433	1566	2043
434	1568	2037
435	1571	2033
436	1573	2027
437	1576	2023
438	1579	2019
439	1582	2013
440	1586	2010
441	1588	2005
442	1590	2000
443	1593	1995
444	1595	1990
445	1597	1984
446	1600	1979
447	1602	1974
448	1604	1968
449	1606	1963
450	1608	1958
451	1610	1952
452	1613	1947
453	1615	1942
454	1617	1937
455	1619	1931
456	1620	1925
457	1622	1920
458	1624	1915
459	1626	1909
460	1628	1904
461	1630	1898
462	1632	1893
463	1634	1888
464	1636	1882
465	1638	1877
466	1640	1872
467	1642	1867
468	1644	1861
469	1646	1856
470	1647	1850
471	1649	1845
472	1651	1839
473	1652	1833
474	1654	1828
475	1656	1822
476	1657	1817
477	1659	1811
478	1660	1806
479	1661	1800
480	1663	1794
481	1665	1789
482	1666	1783
483	1668	1778
484	1670	1773
485	1671	1768
486	1673	1762
487	1674	1757
488	1676	1752
489	1678	1746
490	1680	1742
491	1682	1736
492	1683	1731
493	1685	1726
494	1686	1721
495	1688	1715
496	1690	1710
497	1691	1705
498	1693	1699
499	1694	1694
500	1696	1689
501	1697	1684
502	1699	1679
503	1700	1673
504	1702	1668
505	1703	1663
506	1705	1658
507	1706	1653
508	1708	1648
509	1709	1642
510	1711	1637
511	1712	1632
512	1714	1627
513	1715	1622
514	1717	1617
515	1719	1612
516	1720	1607
517	1721	1602
518	1723	1597
519	1725	1592
520	1726	1587
521	1728	1582
522	1729	1577
523	1730	1572
524	1732	1567
525	1733	1562
526	1735	1557
527	1736	1552
528	1738	1547
529	1739	1542
530	1741	1537
531	1742	1533
532	1744	1528
533	1745	1523
534	1747	1518
535	1748	1513
536	1749	1508
537	1751	1503
538	1752	1498
539	1753	1494
540	1755	1489
541	1756	1484
542	1758	1479
543	1760	1475
544	1761	1470
545	1763	1466
546	1764	1461
547	1766	1456
548	1767	1452
549	1769	1447
550	1770	1442
551	1771	1438
552	1773	1433
553	1774	1428
554	1776	1424
555	1777	1419
556	1779	1415
557	1781	1410
558	1782	1406
559	1784	1402
560	1785	1397
561	1787	1393
562	1788	1388
563	1790	1384
564	1791	1379
565	1793	1374
566	1794	1370
567	1796	1365
568	1797	1361
569	1799	1357
570	1801	1353
571	1802	1348
572	1803	1344
573	1805	1340
574	1807	1335
575	1808	1331
576	1810	1326
577	1811	1322
578	1813	1318
579	1814	1313
580	1815	1309
581	1817	1305
582	1818	1300
583	1820	1296
584	1821	1292
585	1823	1288
586	1824	1283
587	1826	1279
588	1827	1275
589	1829	1271
590	1830	1266
591	1832	1262
592	1833	1258
593	1835	1254
594	1836	1250
595	1838	1246
596	1839	1241
597	1841	1237
598	1842	1233
599	1844	1229
600	1845	1225
601	1847	1221
602	1849	1217
603	1850	1213
604	1851	1208
605	1853	1205
606	1854	1200
607	1856	1196
608	1857	1192
609	1859	1188
610	1861	1184
611	1862	1180
612	1863	1176
613	1865	1172
614	1866	1168
615	1868	1164
616	1869	1160
617	1871	1156
618	1872	1152
619	1874	1148
620	1875	1144
621	1877	1141
622	1879	1137
623	1880	1133
624	1882	1129
625	1883	1125
626	1885	1121
627	1887	1117
628	1888	1113
629	1890	1110
630	1891	1106
631	1893	1102
632	1894	1098
633	1896	1094
634	1897	1090
635	1899	1086
636	1900	1083
637	1902	1079
638	1904	1075
639	1905	1072
640	1907	1068
641	1909	1064
642	1910	1060
643	1912	1056
644	1913	1053
645	1914	1049
646	1916	1045
647	1917	1041
648	1919	1038
649	1920	1034
650	1922	1030
651	1924	1027
652	1925	1023
653	1927	1019
654	1928	1016
655	1930	1012
656	1932	1008
657	1933	1005
658	1935	1001
659	1936	997
660	1938	993
661	1939	990
662	1941	986
663	1942	983
664	1944	979
665	1945	975
666	1947	972
667	1948	968
668	1950	965
669	1952	961
670	1953	957
671	1955	954
672	1956	950
673	1958	947
674	1960	943
675	1961	940
676	1963	936
677	1965	933
678	1966	929
679	1968	926
680	1969	922
681	1971	919
682	1973	915
683	1974	912
684	1976	908
685	1977	905
686	1979	901
687	1980	898
688	1982	894
689	1983	891
690	1985	887
691	1986	884
692	1988	880
693	1989	877
694	1991	873
695	1992	870
696	1994	867
697	1995	863
698	1997	860
699	1998	856
700	2000	853
701	2001	849
702	2003	846
703	2005	843
704	2006	839
705	2008	836
706	2010	833
707	2011	829
708	2013	826
709	2014	822
710	2016	819
711	2017	816
712	2019	812
713	2020	809
714	2022	806
715	2023	802
716	2025	799
717	2027	796
718	2028	792
719	2030	789
720	2031	786
721	2033	782
722	2034	779
723	2036	776
724	2037	772
725	2039	769
726	2040	766
727	2042	763
728	2043	759
729	2045	756
730	2046	753
731	2048	749
732	2049	746
733	2051	743
734	2052	740
735	2053	736
736	2055	733
737	2057	730
738	2058	727
739	2059	723
740	2061	720
741	2062	717
742	2063	713
743	2065	710
744	2067	707
745	2068	704
746	2069	701
747	2071	697
748	2073	694
749	2074	691
750	2076	688
751	2077	685
752	2079	681
753	2080	678
754	2082	675
755	2083	672
756	2085	669
757	2087	666
758	2088	663
759	2090	660
760	2091	656
761	2093	653
762	2095	650
763	2097	647
764	2098	644
765	2100	641
766	2102	638
767	2103	635
768	2105	632
769	2107	629
770	2108	626
771	2110	623
772	2111	620
773	2113	617
774	2114	614
775	2116	610
776	2117	607
777	2119	604
778	2121	601
779	2123	598
780	2124	595
781	2126	592
782	2127	589
783	2129	586
784	2131	583
785	2132	580
786	2134	577
787	2135	574
788	2137	571
789	2139	568
790	2141	565
791	2143	562
792	2144	559
793	2146	556
794	2147	553
795	2149	550
796	2151	547
797	2152	544
798	2154	542
799	2156	539
800	2157	536
801	2159	533
802	2161	530
803	2163	527
804	2165	524
805	2167	521
806	2169	518
807	2170	515
808	2172	512
809	2174	509
810	2175	507
811	2177	504
812	2179	501
813	2180	498
814	2181	495
815	2183	492
816	2185	489
817	2186	486
818	2188	483
819	2189	480
820	2191	477
821	2192	474
822	2194	471
823	2195	469
824	2197	466
825	2199	463
826	2200	460
827	2201	457
828	2203	454
829	2204	451
830	2206	448
831	2208	445
832	2209	442
833	2211	440
834	2212	437
835	2214	434
836	2215	431
837	2217	428
838	2218	425
839	2219	422
840	2221	419
841	2222	417
842	2224	414
843	2225	411
844	2226	408
845	2228	405
846	2229	402
847	2231	399
848	2233	397
849	2234	394
850	2236	391
851	2237	388
852	2239	385
853	2241	383
854	2242	380
855	2244	377
856	2245	374
857	2247	371
858	2248	369
859	2249	366
860	2251	363
861	2252	360
862	2254	357
863	2256	355
864	2257	352
865	2259	349
866	2260	346
867	2262	344
868	2264	341
869	2265	338
870	2267	335
871	2268	333
872	2270	330
873	2271	327
874	2273	324
875	2275	322
876	2276	319
877	2278	316
878	2279	313
879	2281	311
880	2282	308
881	2284	305
882	2285	302
883	2287	300
884	2288	297
885	2290	294
886	2291	291
887	2293	289
888	2294	286
889	2296	283
890	2297	281
891	2299	278
892	2301	275
893	2302	273
894	2304	270
895	2306	267
896	2307	264
897	2309	262
898	2311	259
899	2312	256
900	2314	254
901	2315	251
902	2318	249
903	2319	246
904	2321	243
905	2323	241
906	2324	238
907	2326	235
908	2328	233
909	2330	230
910	2332	227
911	2334	225
912	2335	222
913	2337	219
914	2339	217
915	2341	214
916	2343	212
917	2345	209
918	2346	206
919	2348	204
920	2350	201
921	2351	198
922	2353	196
923	2354	193
924	2356	191
925	2358	188
926	2360	185
927	2361	183
928	2363	180
929	2365	178
930	2367	175
931	2369	172
932	2371	170
933	2373	167
934	2375	165
935	2376	162
936	2378	159
937	2380	157
938	2382	154
939	2384	152
940	2385	149
941	2387	147
942	2389	144
943	2391	141
944	2392	139
945	2394	136
946	2396	134
947	2397	131
948	2399	128
949	2400	126
950	2402	123
951	2403	121
952	2405	118
953	2407	116
954	2408	113
955	2410	110
956	2411	108
957	2413	105
958	2415	103
959	2416	100
960	2418	98
961	2419	95
962	2421	93
963	2422	90
964	2424	87
965	2425	85
966	2427	82
967	2429	80
968	2430	77
969	2432	75
970	2433	72
971	2435	70
972	2437	67
973	2438	65
974	2439	62
975	2441	60
976	2443	57
977	2445	55
978	2446	52
979	2447	49
980	2449	47
981	2451	44
982	2452	42
983	2454	39
984	2455	37
985	2457	34
986	2459	32
987	2460	29
988	2462	27
989	2464	24
990	2465	22
991	2467	19
992	2468	17
993	2470	14
994	2472	12
995	2473	9
996	2475	7
997	2476	4
998	2478	2
999	2479	0
